Mon Jul 29 13:07:41 CDT 2013
Tarek 12
Frequency	Temp	Power	Utilization
2394.0		45.25	860	1.0
2394.0		48.0	880	1.0
2394.0		52.0	890	0.997518610422
2394.0		53.5	900	1.0
2394.0		53.75	910	1.0
2261.0		44.0	820	1.0
2261.0		47.5	830	1.0
2261.0		49.25	850	1.0
2261.0		52.0	860	1.0
2128.0		42.0	790	1.0
2128.0		44.75	800	1.0
2128.0		47.25	800	1.0
2128.0		48.5	810	1.0
1995.0		42.25	770	1.0
1995.0		46.75	780	1.0
1862.0		40.0	740	1.0
1862.0		44.25	750	1.0
1729.0		40.25	710	1.0
1729.0		44.5	720	1.0
1596.0		37.5	690	1.0
1596.0		42.5	700	1.0
1463.0		37.0	660	1.0
1463.0		39.0	670	1.0
1330.0		36.75	640	1.0
1330.0		37.5	650	1.0
1197.0		36.0	620	1.0
1197.0		38.0	630	1.0
1197.0		38.0	640	1.0
