Wed Jul 31 15:36:33 CDT 2013
Tarek 15
Frequency	Temp	Power	Utilization
2394.0		47.25	900	0.997512437811
2394.0		53.5	930	1.0
2394.0		56.0	940	1.0
2394.0		57.5	950	1.0
2261.0		46.25	850	1.0
2261.0		49.0	860	1.0
2261.0		52.25	870	1.0
2128.0		47.75	810	1.0
2128.0		50.25	820	1.0
2128.0		51.25	830	1.0
1995.0		43.0	760	1.0
1995.0		45.0	770	1.0
1995.0		49.0	780	1.0
1862.0		41.75	730	1.0
1862.0		46.25	740	1.0
1729.0		40.25	700	1.0
1596.0		39.25	660	1.0
1596.0		40.75	670	0.995024875622
1463.0		38.0	640	1.0
1463.0		41.0	650	1.0
1330.0		38.75	620	1.0
1197.0		35.75	590	1.0
1197.0		38.25	600	1.0
1197.0		38.5	610	1.0
