Fri Aug  2 12:39:50 CDT 2013
Tarek 16
Frequency	Temp	Power	Utilization
2394.0		47.0	900	1.0
2394.0		53.25	910	1.0
2394.0		54.75	920	1.0
2394.0		55.75	930	1.0
2394.0		56.5	940	1.0
2394.0		57.25	950	1.0
2261.0		45.5	840	1.0
2261.0		50.5	860	1.0
2261.0		53.0	870	1.0
2128.0		43.25	800	1.0
2128.0		48.0	810	1.0
2128.0		50.75	820	1.0
1995.0		42.0	750	1.0
1995.0		45.0	760	1.0
1995.0		47.5	770	1.0
1862.0		40.75	720	1.0
1862.0		44.5	730	1.0
1729.0		39.5	680	1.0
1729.0		41.0	690	1.0
1596.0		37.75	650	1.0
1596.0		40.0	660	1.0
1463.0		36.75	630	1.0
1463.0		40.0	640	1.0
1330.0		35.75	600	1.0
1330.0		37.25	610	1.0
1197.0		35.5	580	1.0
1197.0		37.25	590	1.0
