Thu Aug  8 13:55:32 CDT 2013
Tarek 18
Frequency	Temp	Power	Utilization
2394.0		34.5	820	1.0
2394.0		38.25	830	1.0
2394.0		40.5	840	0.997518610422
2394.0		45.0	850	1.0
2261.0		33.25	770	1.0
2261.0		37.25	780	1.0
2261.0		39.0	790	1.0
2261.0		42.0	800	1.0
2128.0		31.75	750	1.0
2128.0		39.25	760	1.0
1995.0		31.0	720	1.0
1862.0		30.25	690	1.0
1862.0		35.25	700	1.0
1729.0		29.25	660	1.0
1729.0		33.25	670	1.0
1596.0		28.25	640	1.0
1596.0		32.75	650	1.0
1463.0		30.0	620	1.0
1463.0		31.0	630	1.0
1330.0		26.25	600	1.0
1197.0		25.25	580	1.0
