Wed Aug 28 12:26:57 CDT 2013
Tarek 19
Frequency	Temp	Power	Utilization
2394.0		36.75	830	1.0
2394.0		40.25	840	0.997512437811
2394.0		45.0	850	1.0
2261.0		36.0	780	1.0
2261.0		39.25	790	0.997512437811
2261.0		41.25	800	1.0
2128.0		34.75	750	1.0
2128.0		40.0	760	1.0
1995.0		33.0	720	1.0
1995.0		37.75	730	1.0
1862.0		32.5	690	1.0
1862.0		36.5	700	1.0
1729.0		30.75	660	1.0
1729.0		32.75	670	1.0
1596.0		30.0	640	1.0
1596.0		31.25	650	1.0
1463.0		28.5	620	1.0
1463.0		32.75	630	1.0
1330.0		28.0	600	1.0
1197.0		27.75	580	1.0
1197.0		29.75	590	1.0
