Wed Sep  4 20:27:24 CDT 2013
Tarek 27
Frequency	Temp	Power	Utilization
1197.0		26.25	580	1.0
1197.0		27.5	590	0.997524752475
1330.0		30.5	600	1.0
1330.0		32.25	610	1.0
1463.0		31.5	620	1.0
1463.0		33.75	630	1.0
1596.0		32.25	640	1.0
1596.0		34.25	650	1.0
1729.0		33.5	670	1.0
1862.0		34.75	680	0.997512437811
1862.0		37.5	690	1.0
1862.0		38.5	700	1.0
1995.0		37.5	720	1.0
2128.0		39.0	750	1.0
2128.0		41.25	760	1.0
2261.0		40.5	770	1.0
2261.0		42.25	780	1.0
2261.0		44.0	790	1.0
2261.0		45.0	800	1.0
2394.0		42.5	820	1.0
2394.0		46.0	830	1.0
2394.0		46.5	840	1.0
