Thu Sep  5 13:47:00 CDT 2013
Tarek 29
Frequency	Temp	Power	Utilization
1197.0		27.75	590	1.0
1197.0		32.75	600	1.0
1330.0		31.75	610	0.997518610422
1330.0		33.75	620	1.0
1463.0		33.25	630	1.0
1463.0		35.75	640	1.0
1596.0		34.75	650	1.0
1596.0		37.0	660	1.0
1729.0		35.75	670	1.0
1729.0		37.75	680	1.0
1862.0		37.5	700	1.0
1862.0		40.25	710	1.0
1995.0		39.5	730	1.0
1995.0		42.75	740	1.0
2128.0		41.0	750	1.0
2128.0		42.5	760	1.0
2128.0		43.0	770	1.0
2261.0		43.0	790	1.0
2261.0		46.0	800	1.0
2394.0		45.25	830	1.0
2394.0		48.0	840	1.0
2394.0		49.25	850	1.0
