Fri Jul 19 11:59:59 CDT 2013
Tarek 08
Frequency	Temp	Power	Utilization
2394.0		48.75	880	1.0
2394.0		53.25	900	1.0
2394.0		56.0	910	0.9975
2394.0		58.75	940	1.0
2394.0		60.75	950	1.0
2394.0		61.75	960	1.0
2261.0		48.0	840	1.0
2261.0		51.75	860	0.997518610422
2261.0		54.5	870	1.0
2261.0		56.25	880	1.0
2261.0		57.5	890	1.0
2261.0		59.25	890	1.0
2261.0		60.25	900	1.0
2261.0		61.5	910	1.0
2128.0		46.0	810	1.0
2128.0		50.0	830	1.0
2128.0		52.75	840	1.0
2128.0		56.0	860	0.997512437811
2128.0		57.75	860	1.0
2128.0		58.75	870	0.997512437811
1995.0		45.75	790	1.0
1995.0		49.0	800	1.0
1995.0		51.75	810	0.997506234414
1995.0		53.5	820	0.997512437811
1995.0		54.75	830	1.0
1862.0		38.5	740	1.0
1862.0		44.5	760	1.0
1862.0		47.75	770	0.995037220844
1862.0		50.0	780	1.0
1862.0		52.25	790	1.0
1862.0		53.25	800	1.0
1862.0		54.25	810	1.0
1729.0		43.75	730	1.0
1729.0		46.75	740	1.0
1729.0		48.5	760	1.0
1729.0		50.0	760	0.997512437811
1729.0		52.25	770	1.0
1596.0		43.5	720	1.0
1596.0		48.75	730	1.0
1596.0		50.0	740	1.0
1463.0		41.0	690	1.0
1463.0		43.75	700	1.0
1463.0		45.5	710	1.0
1330.0		41.0	670	1.0
1330.0		43.5	680	1.0
1330.0		46.75	690	1.0
1197.0		40.25	660	1.0
1197.0		45.0	670	1.0
