Tue Jul 23 10:45:56 CDT 2013
Tarek 09
Frequency	Temp	Power	Utilization
2394.0		46.75	890	1.0
2394.0		51.5	910	1.0
2394.0		53.25	930	1.0
2394.0		55.25	940	1.0
2394.0		57.0	950	1.0
2394.0		58.5	960	1.0
2261.0		38.75	840	1.0
2261.0		49.75	860	1.0
2261.0		52.5	870	1.0
2261.0		54.0	880	1.0
2261.0		54.5	890	0.997512437811
2128.0		44.25	800	1.0
2128.0		47.5	820	1.0
2128.0		49.75	830	1.0
2128.0		51.5	840	1.0
1995.0		43.25	780	1.0
1995.0		46.25	790	1.0
1995.0		49.25	800	1.0
1995.0		50.75	810	1.0
1862.0		42.0	750	1.0
1862.0		47.25	760	1.0
1729.0		40.5	710	1.0
1729.0		43.5	730	1.0
1729.0		47.0	740	1.0
1596.0		40.0	690	1.0
1596.0		42.25	700	1.0
1463.0		39.0	670	1.0
1463.0		42.75	680	1.0
1330.0		37.25	640	1.0
1330.0		39.75	650	1.0
1330.0		41.75	660	1.0
1197.0		39.0	620	1.0
1197.0		39.75	630	1.0
1197.0		40.25	640	1.0
