Thu Jul 25 10:29:56 CDT 2013
Tarek 10
Frequency	Temp	Power	Utilization
2394.0		47.0	840	1.0
2394.0		51.25	870	1.0
2394.0		56.5	880	1.0
2261.0		45.0	800	1.0
2261.0		50.75	810	1.0
2261.0		53.0	820	1.0
2128.0		44.25	760	1.0
2128.0		47.25	770	1.0
2128.0		51.0	780	1.0
1995.0		43.75	730	1.0
1995.0		46.5	740	1.0
1995.0		48.0	750	1.0
1862.0		41.25	700	1.0
1862.0		45.75	710	0.997512437811
1729.0		40.5	670	1.0
1729.0		43.5	680	1.0
1596.0		39.5	650	0.997518610422
1330.0		38.75	600	1.0
1330.0		40.25	610	1.0
1463.0		40.25	630	1.0
1197.0		36.25	580	0.99504950495
1197.0		37.75	590	1.0
