Tue Aug  6 14:23:28 CDT 2013
Tarek 17
Frequency	Temp	Power	Utilization
2394.0		45.75	890	1.0
2394.0		49.5	900	1.0
2394.0		52.75	910	1.0
2394.0		54.5	920	1.0
2261.0		44.25	810	1.0
2261.0		47.25	840	1.0
2261.0		49.5	850	1.0
2261.0		52.25	860	1.0
2128.0		42.75	780	1.0
2128.0		44.5	790	1.0
2128.0		46.0	800	1.0
1995.0		41.25	750	1.0
1995.0		46.5	760	1.0
1862.0		30.5	690	1.0
1862.0		33.0	700	1.0
1729.0		32.5	660	1.0
1729.0		33.5	670	0.997518610422
1596.0		28.25	630	1.0
1596.0		30.0	640	0.997518610422
1463.0		28.5	610	1.0
1463.0		31.0	620	1.0
1330.0		26.5	590	1.0
1197.0		25.5	570	1.0
