Thu Aug 29 17:54:38 CDT 2013
Tarek 23
Frequency	Temp	Power	Utilization
2394.0		35.0	830	1.0
2394.0		42.75	840	1.0
2394.0		44.75	850	1.0
2394.0		46.75	860	1.0
2261.0		33.5	770	1.0
2261.0		37.0	790	1.0
2261.0		43.75	800	1.0
2128.0		35.5	750	1.0
2128.0		41.25	760	1.0
1995.0		32.5	710	1.0
1995.0		35.5	720	1.0
1995.0		38.25	730	0.997518610422
1862.0		32.75	690	1.0
1862.0		36.0	700	1.0
1729.0		29.75	660	1.0
1729.0		32.0	670	1.0
1729.0		36.75	680	1.0
1596.0		29.25	640	1.0
1596.0		32.75	650	1.0
1463.0		28.75	620	1.0
1463.0		32.5	630	1.0
1463.0		33.0	640	1.0
1330.0		27.0	600	1.0
1330.0		31.0	610	1.0
1197.0		26.0	580	1.0
1197.0		29.5	590	1.0
