Thu Sep  5 10:56:47 CDT 2013
Tarek 28
Frequency	Temp	Power	Utilization
1197.0		26.25	600	1.0
1197.0		30.25	610	1.0
1330.0		29.75	620	1.0
1330.0		31.0	630	0.997518610422
1463.0		31.5	640	0.997518610422
1463.0		32.5	650	1.0
1596.0		32.5	660	1.0
1596.0		34.5	670	1.0
1729.0		34.25	690	1.0
1729.0		36.5	700	1.0
1862.0		35.75	710	1.0
1862.0		37.75	720	1.0
1862.0		39.25	730	1.0
1995.0		37.25	740	1.0
1995.0		40.5	750	1.0
1995.0		41.25	760	1.0
2128.0		39.0	770	1.0
2128.0		41.5	780	1.0
2261.0		40.5	800	1.0
2261.0		44.0	810	1.0
2261.0		45.0	820	1.0
2394.0		42.75	840	1.0
2394.0		45.0	860	1.0
2394.0		48.5	870	1.0
