Fri Sep  6 16:04:37 CDT 2013
Tarek 32
Frequency	Temp	Power	Utilization
1197.0		25.0	560	0.997518610422
1330.0		29.75	580	1.0
1330.0		31.75	590	0.997518610422
1463.0		30.25	600	1.0
1463.0		31.75	610	1.0
1596.0		32.75	620	1.0
1596.0		33.75	630	1.0
1729.0		33.75	640	0.997512437811
1729.0		35.0	650	1.0
1862.0		35.5	680	1.0
1995.0		37.0	710	1.0
2128.0		39.25	730	1.0
2128.0		40.25	740	1.0
2261.0		41.0	760	1.0
2261.0		42.5	770	1.0
2261.0		44.75	780	1.0
2394.0		44.25	820	0.997512437811
2394.0		47.5	830	1.0
2394.0		49.75	840	1.0
