Sun Sep  8 12:50:44 CDT 2013
Tarek 33
Frequency	Temp	Power	Utilization
1197.0		26.25	570	1.0
1197.0		30.25	580	1.0
1330.0		30.0	590	1.0
1330.0		30.75	600	1.0
1463.0		31.5	610	1.0
1463.0		32.25	620	1.0
1596.0		33.25	630	1.0
1596.0		34.75	640	1.0
1729.0		34.0	650	1.0
1729.0		35.75	660	1.0
1862.0		35.75	680	1.0
1862.0		37.25	690	1.0
1995.0		37.75	710	1.0
1995.0		39.5	720	1.0
2128.0		39.75	740	0.997512437811
2128.0		42.25	750	1.0
2128.0		44.25	760	1.0
2261.0		38.5	770	1.0
2261.0		42.25	780	1.0
2261.0		45.75	790	1.0
2261.0		47.0	800	1.0
2394.0		44.5	840	1.0
2394.0		50.0	850	1.0
